Country Name,Year,Unemployment Rate,GDP (in USD)
Morocco,2014,9.7,119130841411.664
Myanmar,2014,0.763,65531374199.6663
Poland,2014,8.971,542134167178.627
Uganda,2014,2.348,32612397257.4458
United States,2014,6.168,17608138000000.0
Albania,2015,17.193,11470171826.9575
Lesotho,2015,16.254,2359686724.53829
Morocco,2015,9.46,110413823841.592
Myanmar,2015,0.766,59607290407.6191
Poland,2015,7.475,480054118583.367
Uganda,2015,2.679,32387183730.1002
United States,2015,5.28,18295019000000.0
Albania,2016,15.418,11988668784.6628
Lesotho,2016,16.17,2114426452.2019
Morocco,2016,9.3,111572947004.917
Myanmar,2016,1.058,63298361996.2153
Poland,2016,6.141,473259623976.262
Uganda,2016,3.008,29203988696.2626
United States,2016,4.869,18804913000000.0
Albania,2017,13.616,13258268435.6048
Lesotho,2017,16.401,2306741672.29006
Morocco,2017,9.223,118540573367.844
Myanmar,2017,1.356,66053040483.0016
Poland,2017,4.867,528356723263.073
Uganda,2017,3.428,30744473841.424
United States,2017,4.355,19612102000000.0
Albania,2018,12.304,15379508329.7568
Lesotho,2018,16.625,2556247291.99785
Morocco,2018,9.271,127341147581.818
Myanmar,2018,0.767,67860515989.517
Poland,2018,3.835,594616632477.019
Uganda,2018,3.25,32927025619.6795
United States,2018,3.896,20656516000000.0
Albania,2019,11.466,15585111614.0376
Lesotho,2019,16.876,2390702295.82777
Morocco,2019,9.194,128920266409.458
Myanmar,2019,0.407,75065106227.6892
Poland,2019,3.267,602683770144.88
Uganda,2019,3.06,35353061007.9635
United States,2019,3.669,21539982000000.0
Albania,2020,11.69,15241455556.3737
Lesotho,2020,18.399,2053699870.07191
Morocco,2020,11.223,121353645057.144
Myanmar,2020,1.476,79006113643.1906
Poland,2020,3.155,605914186117.953
Uganda,2020,3.831,37600368239.8824
United States,2020,8.055,21354105000000.0
Albania,2021,11.474,18032009220.4405
Lesotho,2021,18.23,2412130021.64641
Morocco,2021,10.576,142022058447.231
Myanmar,2021,4.34,66345291160.1683
Poland,2021,3.268,689170171187.004
Uganda,2021,3.422,40529788744.0595
United States,2021,5.349,23681171000000.0
Albania,2022,10.137,19017244116.7203
Lesotho,2022,16.688,2354980884.15271
Morocco,2022,9.494,130951926351.241
Myanmar,2022,3.057,62253049891.6449
Poland,2022,2.811,695607522884.822
Uganda,2022,2.886,45565333216.4142
United States,2022,3.65,26006893000000.0
